Sigle,Autor,Titel,Sammlung,Referenz,Jahr,Jahr_Schlawe,Jahr_Frank,Jahr_Metricalizer,Zeitraum_Frank,Zeitraum,Frank,Schlawe,Strophenformen,Metricalizer,Freiburger Anthologie,Zeno,Besonderheiten,falsche Zuordnungen
? Goethe - Amor,"""Goethe, Johann Wolfgang von""",Amor,,,,,1766,,1700-1770,,4.10,,,,,,,
Abel - Fluch eines Eifersüchtigen,"""Abel, Jakob Friedrich""",Fluch eines Eifersüchtigen,,,,,,,1770-1830,,4.85,,,,,0,,
Abraham a Sancta Clara - Hier sind wir arme Narren,Abraham a Sancta Clara,Hier sind wir arme Narren,"Narren-Meß,Wunderhorn (1805/08)",DKW Hier sind wir arme Narren,,,,,1600-1700,,4.17,,,,,http://www.zeno.org/nid/20004464052,,
"Abschatz - Abschied, ach du herbes Wort","""Abschatz, Hans Assmann von""","Abschied, ach du herbes Wort",,,,,,,1600-1700,,6.23,,,,,http://www.zeno.org/nid/20004393333,,
Abschatz - Amaranthens braune Wangen,"""Abschatz, Hans Assmann von""",Amaranthens braune Wangen,,,,,,,1600-1700,,6.29,,,,,http://www.zeno.org/nid/20004393104,,
Abschatz - Auf ihren Namens-Tag 2,"""Abschatz, Hans Assmann von""",Auf ihren Namens-Tag 2,,,,,,,1600-1700,,6.51,,,,,,,
Abschatz - Cartell auf ein Piquet-Spiel,"""Abschatz, Hans Assmann von""",Cartell auf ein Piquet-Spiel,,,,,,,1600-1700,,8.27,,,,,http://www.zeno.org/nid/2000439318X,,
Abschatz - Der bestohlne Cupido,"""Abschatz, Hans Assmann von""",Der bestohlne Cupido,,,,,,,1600-1700,,4.113,,,,,http://www.zeno.org/nid/2000439304X,,
Abschatz - Der Einsame und Verliebte,"""Abschatz, Hans Assmann von""",Der Einsame und Verliebte,,,,,,,1600-1700,,4.107,,,,,http://www.zeno.org/nid/20004393635,,
Abschatz - Der Verliebte und Betrübte,"""Abschatz, Hans Assmann von""",Der Verliebte und Betrübte,,,,,,,1600-1700,,4.107,,,,,http://www.zeno.org/nid/20004393643,,
Abschatz - Die kranke Phillis,"""Abschatz, Hans Assmann von""",Die kranke Phillis,,,,,,,1600-1700,,4.117,,,,,http://www.zeno.org/nid/20004392949,,
Abschatz - Die Kuß-Scheue,"""Abschatz, Hans Assmann von""",Die Kuß-Scheue,,,,,,,1600-1700,,4.20,,,,,http://www.zeno.org/nid/20004392728,,
Abschatz - Die lange Nacht 1,"""Abschatz, Hans Assmann von""",Die lange Nacht 1,,,,,,,1600-1700,,4.118,,,,,,,
"Abschatz - Die lange Nacht 2 (Mein Bette, glaub ich, ist mit Disteln überstreuet)","""Abschatz, Hans Assmann von""","Die lange Nacht 2 (Mein Bette, glaub ich, ist mit Disteln überstreuet)",,,,,,,1600-1700,,6.51,,,,,,,
Abschatz - Die sieben Wochen,"""Abschatz, Hans Assmann von""",Die sieben Wochen,,,,,,,1600-1700,,6.22,,,,,http://www.zeno.org/nid/20004393376,,
Abschatz - Die weiße Fillis,"""Abschatz, Hans Assmann von""",Die weiße Fillis,,,,,,,1600-1700,,6.27,,,,,http://www.zeno.org/nid/20004392809,,
Abschatz - Die wettstreitende Doris,"""Abschatz, Hans Assmann von""",Die wettstreitende Doris,,,,,,,1600-1700,,6.37,,,,,http://www.zeno.org/nid/20004392825,,
Abschatz - Herr / die Stund ist angebrochen,"""Abschatz, Hans Assmann von""",Herr / die Stund ist angebrochen,,,,,,,1600-1700,,6.27,,,,,http://www.zeno.org/nid/2000439528X,,
Abschatz - Hoffnung gleichet einem Wilde,"""Abschatz, Hans Assmann von""",Hoffnung gleichet einem Wilde,,,,,,,1600-1700,,8.26,,,,,http://www.zeno.org/nid/20004393554,,
Abschatz - Ich lege dir mein Haupt zu deinen Füßen,"""Abschatz, Hans Assmann von""",Ich lege dir mein Haupt zu deinen Füßen,,,,,,,1600-1700,,4.108,,,,,http://www.zeno.org/nid/2000439285X,,
Abschatz - Käyserliche Nahmens-Feyer,"""Abschatz, Hans Assmann von""",Käyserliche Nahmens-Feyer,,,,,,,1600-1700,,6.23,,,,,http://www.zeno.org/nid/20004396278,,
Abschatz - Liebe und Gegenliebe,"""Abschatz, Hans Assmann von""",Liebe und Gegenliebe,,,,,,,1600-1700,,4.49,,,,,http://www.zeno.org/nid/20004392701,,
Abschatz - Mein allein / oder laß es gar seyn,"""Abschatz, Hans Assmann von""",Mein allein / oder laß es gar seyn,,,,,,,1600-1700,,4.106,,,,,http://www.zeno.org/nid/20004392590,,
Abschatz - Soll Celadon die stille Glutt,"""Abschatz, Hans Assmann von""",Soll Celadon die stille Glutt,,,,,,,1600-1700,,6.34,,,,,http://www.zeno.org/nid/20004393589,,
Abschatz - Verträglich und gedultig,"""Abschatz, Hans Assmann von""",Verträglich und gedultig,,,,,17. Jh.,,1600-1700,,4.118,,,,,http://www.zeno.org/nid/20004393139,,
Abschatz - Wer will hinfort beständig bleiben,"""Abschatz, Hans Assmann von""",Wer will hinfort beständig bleiben,,,,,,,1600-1700,,6.39,,,,,http://www.zeno.org/nid/20004393457,,
Abschatz - Wie lange soll mich kräncken,"""Abschatz, Hans Assmann von""",Wie lange soll mich kräncken,,,,,,,1600-1700,,6.7,,,,,http://www.zeno.org/nid/20004393368,,
"Adersbach - Vater, des die Langmut ist","""Adersbach, Andreas""","Vater, des die Langmut ist",,,,,1640,,1600-1700,,6.13,,,,,0,,
"Adolf - O Mynsche, wil gedenken","""Adolf, Christian""","O Mynsche, wil gedenken",,,,,16. Jh.,,-1600,,7.2,,,,,0,,
"Agricola - Hilf mir, Herr, in der letzten Not","""Agricola, Johann""","Hilf mir, Herr, in der letzten Not",,,,,,,-1600,,8.30,,,,,0,,
Agricola - O Vater aller Frommen,"""Agricola, Johann""",O Vater aller Frommen,,,,,16. Jh.,,-1600,,7.2,,,,,0,,
Albert - Bei seligem Abschied Anna Katharinen [...],"""Albert, Heinrich""",Bei seligem Abschied Anna Katharinen [...],,,,,,,1600-1700,,6.7,,,,,0,,
Albert - Cynthia mein Leben,"""Albert, Heinrich""",Cynthia mein Leben,,,,,,,1600-1700,,10.1,,,,,0,,
Albert - Einen guten Kampf hab ich,"""Albert, Heinrich""",Einen guten Kampf hab ich,,,,,Barock,,1600-1700,,8.13,,,,,0,,
Albert - Gott des Himmels und der Erden,"""Albert, Heinrich""",Gott des Himmels und der Erden,,,,,Barock,,1600-1700,,6.27,,,,,0,,
Albert - O du Göttin dieser Erden,"""Albert, Heinrich""",O du Göttin dieser Erden,,,,,Barock,,1600-1700,,6.25,,,,,0,,
"Albert - O Weh, o Herzeleid","""Albert, Heinrich""","O Weh, o Herzeleid",,,,,,,1600-1700,,6.4,,,,,0,,
Alberus - Als Marie zu Elisabeth kam,"""Alberus, Erasmus""",Als Marie zu Elisabeth kam,,,,,vor 1555,,-1600,,4.99,,,,,0,,
Alberus - Dein Heiligkeit verfluchet ist,"""Alberus, Erasmus""",Dein Heiligkeit verfluchet ist,,,,,15./16. Jh.,,-1600,,2.5,,,,,0,,
"Alberus - Gelobet sei der Herr, der Gott","""Alberus, Erasmus""","Gelobet sei der Herr, der Gott",,,,,1561,,-1600,,8.30,,,,,0,,
"Alberus - Ihr lieben Christen, freut euch nun","""Alberus, Erasmus""","Ihr lieben Christen, freut euch nun",,,,,16. Jh.,,-1600,,4.58,,,,,0,,
"Alberus - Mein lieber Herr, ich preise dich","""Alberus, Erasmus""","Mein lieber Herr, ich preise dich",,,,,1561,,-1600,,8.30,,,,,0,,
"Albinus, J. G. - Straf mich nicht in deinem Zorn","""Albinus, Johann Georg""",Straf mich nicht in deinem Zorn,,,,,,,,,4.31,,,,,0,,
"Albinus, J.G. - Der Tag ist nun vergangen","""Albinus, Johann Georg""",Der Tag ist nun vergangen,,,,,,,1600-1700,,6.9,,,,,0,,
"Albinus, M. - Auf, du mein Geist, mein Sinnenlicht","""Albinus, Michael""","Auf, du mein Geist, mein Sinnenlicht",,,,,,,1600-1700,,10.4,,,,,0,,
"Albinus, M. - Auf, lasset uns dem Herren","""Albinus, Michael""","Auf, lasset uns dem Herren",,,,,,,1600-1700,,2.10,,,,,0,,
"Albinus, M. - Freudenlied und Danksagung","""Albinus, Michael""",Freudenlied und Danksagung,,,,,1629,,1600-1700,,4.83,,,,,0,,
"Albinus, M. - Frohlocket mit Händen, ihr Völker der Erden","""Albinus, Michael""","Frohlocket mit Händen, ihr Völker der Erden",,,,,,,1600-1700,,4.70,,,,,0,,
"Albinus, M. - Jesu, Liebster meiner Seelen","""Albinus, Michael""","Jesu, Liebster meiner Seelen",,,,,,,1600-1700,,6.25,,,,,0,,
Albrecht - Morgenlied,"""Albrecht, Sophie""",Morgenlied,,,,,,,1770-1830,,6.29,,,,,0,,
"Algerman - Ewiger Herr, Gott Zebaoth","""Algerman, Franciscus""","Ewiger Herr, Gott Zebaoth",,,,,16. Jh.,,-1600,,13.1,,,,,0,,
Allmers - Am Strande,"""Allmers, Hermann""",Am Strande,,,,,,,1830-1900,,4.105,,,,,0,,
Allmers - An mein altes Plaid,"""Allmers, Hermann""",An mein altes Plaid,,,,,,,1830-1900,,2.9,,,,,0,,
Allmers - Ave Maria im Gebirge,"""Allmers, Hermann""",Ave Maria im Gebirge,,,,,,,1830-1900,,4.105,,,,,0,,
Allmers - Der Wildschütz und sein Lieb,"""Allmers, Hermann""",Der Wildschütz und sein Lieb,,,,,,,1830-1900,,6.19,,,,,0,,
Allmers - Die Mutter Gottes zu Mulsum,"""Allmers, Hermann""",Die Mutter Gottes zu Mulsum,,,,,,,1830-1900,,4.36,,,,,0,,
Allmers - Einem treuen Knechte,"""Allmers, Hermann""",Einem treuen Knechte,,,,,,,1830-1900,,4.67,,,,,0,,
Allmers - Feldeinsamkeit,"""Allmers, Hermann""",Feldeinsamkeit,,,,,,1860,1830-1900,,4.103,,,,https://metricalizer.de/de/corpus/7/overview/inspect/55dc4b176758952e88df70a7,0,,
Allmers - Heidenacht,"""Allmers, Hermann""",Heidenacht,,,,,,1869,1830-1900,,---,,,86,https://metricalizer.de/de/corpus/7/overview/inspect/55dc4b176758952e88df70a8,0,,
Allmers - In den Trümmern der,"""Allmers, Hermann""",In den Trümmern der,,,,,,,1830-1900,,4.49,,,,,0,,
Allmers - Morgensternlied,"""Allmers, Hermann""",Morgensternlied,,,,,,,1830-1900,,6.15,,,,,0,Frank: füllungsfrei bis daktylisch,
Allmers - Nachtsegen,"""Allmers, Hermann""",Nachtsegen,,,,,,,1830-1900,,4.49,,,,,0,,
Allmers - Nachtstück,"""Allmers, Hermann""",Nachtstück,,,,,,,1830-1900,,6.18,,,,,0,Frank: daktylische Verlebendigung,
Allmers - Vom Beten 3,"""Allmers, Hermann""",Vom Beten 3,,,,,,,1830-1900,,4.106,,,,,0,,
Anacker - Der siebente März 1936,"""Anacker, Heinrich""",Der siebente März 1936,,,,,,,1900-2000,,5.16,,,,,0,,
Anacker - Gegen Versailles,"""Anacker, Heinrich""",Gegen Versailles,,,,,,,1900-2000,,4.37,,,,,0,,
Anacker - Jahrtausendbauten,"""Anacker, Heinrich""",Jahrtausendbauten,,,,,,,1900-2000,,5.16,,,,,0,,
Anacker - Jungvolk des Dritten Reiches,"""Anacker, Heinrich""",Jungvolk des Dritten Reiches,,,,,,,1900-2000,,4.106,,,,,0,,
Andrae - De Naam,"""Andrae, Oswald""",De Naam,,,,,,,1900-2000,,4.36,,,,,0,,
"Andreä - Ach mein Vater, Schöpfer und Herre","""Andreä, Johann Valentin""","Ach mein Vater, Schöpfer und Herre",,,,,17. Jh.,,1600-1700,,4.67,,,,,0,,
"Andreä - Christ, mein Gott, erhör mein Flehen","""Andreä, Johann Valentin""","Christ, mein Gott, erhör mein Flehen",,,,,,,1600-1700,,8.25,,,,,0,,
Andres - Beata tranquillitas,"""Andres, Stefan""",Beata tranquillitas,,,,,,,1900-2000,,5.15,,,,,0,,
Andres - Das Herz,"""Andres, Stefan""",Das Herz,,,,,,,1900-2000,,2.9,,,,,0,,
Andres - Die Geburt,"""Andres, Stefan""",Die Geburt,,,,,,,1900-2000,,5.16,,,,,0,,
Andres - Nun schließt die Tür,"""Andres, Stefan""",Nun schließt die Tür,,,,,,,1900-2000,,4.105,,,,,0,,
Andres - Stumm treibt die Erde,"""Andres, Stefan""",Stumm treibt die Erde,,,,,,,1900-2000,,5.12,,,,,0,,
Anon - Aber will ich singen / Und singen ein neu Gedicht / Von Raumensattel Dingen,Anon,Aber will ich singen / Und singen ein neu Gedicht / Von Raumensattel Dingen,,EB 59a,,,,,-1600,,8.7,,,,,,,
Anon - Abschied muß ich nehmen hier,Anon,Abschied muß ich nehmen hier,,EB 776,,,,,,,4.31,,,,,,,
"Anon - Abt Kaspar von sant Gallen, / gebornim Turbental",Anon,"Abt Kaspar von sant Gallen, / gebornim Turbental",,LI 95,,,1451,,-1600,,7.3,,,,,,,
Anon - Ach durch Gott vernehmt die Klag,Anon,Ach durch Gott vernehmt die Klag,,LI 106,,,1457,,-1600,,5.6,,,,,,,
Anon - Ach Gott in deinem höchsten,Anon,Ach Gott in deinem höchsten Thron,,WA III 474,,,,,-1600,,5.6,,,,,,,
"Anon - Ach Gott und Herr, / wie groß und schwer",Anon,"Ach Gott und Herr, / wie groß und schwer",,FT I 52,,,1613,,1600-1700,,6.2,,,,,,,
Anon - Ach Gott vom Himmel schau,Anon,Ach Gott vom Himmel schau darein (Ein neu Lied von Martin Luther dem treulosen Augustinermönch),Flugblatt von 1583,Flugblatt von 1583,,,16. Jh.,,-1600,,7.7,,,,,,,
"Anon - Ach Gott, wem soll ich klagen",Anon,"Ach Gott, wem soll ich klagen",,EB 478a,,,16. Jh.,,-1600,,8.7,,,,,,,
"Anon - Ach Gott, wem soll ichs klagen",Anon,"Ach Gott, wem soll ichs klagen",,WA III 933,,,Reformationszeit,,-1600,,9.1,,,,,,,
"Anon - Ach Karle, großmächtigster Mann",Anon,"Ach Karle, großmächtigster Mann",,"EB 282,WA II 1175",,,1546,,-1600,,5.6,,,,,,,
"Anon - Ach schönster Schatz, mein Augentrost",Anon,"Ach schönster Schatz, mein Augentrost",,EB 560a,,,,,,,5.4,,,,,,,
"Anon - Ach sie naht, die bange Stunde",Anon,"Ach sie naht, die bange Stunde",,,,,,,,,4.49,,,,,,,
Anon - Ach was hilft ein Blümelein,Anon,Ach was hilft ein Blümelein,Wunderhorn (1805/08),DKW Ach was hilft ein Blümelein,,,,,,,4.42,,,,,http://www.zeno.org/nid/20004468538,,
"Anon - Ach, es ist betrübt zu lesen",Anon,"Ach, es ist betrübt zu lesen",,,,,,,1830-1900,,8.27,,,,,,,
"Anon - Ade, jetzt muß ich scheiden",Anon,"Ade, jetzt muß ich scheiden",,EB 767,,,,,-1600,,8.5,,,,,,,
"Anon - Albert, Graf von Nürnberg, spricht",Anon,"Albert, Graf von Nürnberg, spricht",Wunderhorn (1805/08),DKW Die Herzogin von Orlamünde,,,,,,,2.4,,,,,http://www.zeno.org/nid/20004467426,,
Anon - Alle Leute sollens wissen,Anon,Alle Leute sollens wissen,,EB 619,,,,,,,4.51,,,,,,,
Anon - Alle meine Entchen,Anon,Alle meine Entchen,,,,,,,,,4.13,,,,,,,
Anon - Als Freunde lernten wir uns kennen,Anon,Als Freunde lernten wir uns kennen,,,,,,,1830-1900,,6.38,,,,,,,
Anon - Als ich an einem Sommertag,Anon,Als ich an einem Sommertag,,EB 517,,,,,,,4.58,,,,,,,
Anon - Als ich gen Antiocha kam,Anon,Als ich gen Antiocha kam,Wunderhorn (1805/08),"vgl. WA V 1044,DKW Pura",,,,,-1600,,5.6,,,,,http://www.zeno.org/nid/20004464672,,
Anon - Als Jüngling schlug mir hoch die Brust / Von Kriegeslust und Kriegesfeuer,Anon,Als Jüngling schlug mir hoch die Brust / Von Kriegeslust und Kriegesfeuer,,HA 248,,,Freiheitskriege,,1770-1830,,6.36,,,,,,,
Anon - An einem Montag es geschah,Anon,An einem Montag es geschah,,"EB 253,LI 206A",,,15. Jh.,,-1600,,5.6,,,,,,,
Anon - An einem Sonntag es geschah,Anon,An einem Sonntag es geschah,,LI 77,,,15. Jh.,,-1600,,5.6,,,,,,,
Anon - An jenem Tag / nach Davids Sieg,Anon,An jenem Tag / nach Davids Sieg,,WA V 1559,,,vor Mitte 16. Jh.,,-1600,,6.2,,,,,,,
Anon - Auf dieser Welt hab ich keine Freud,Anon,Auf dieser Welt hab ich keine Freud,Wunderhorn (1805/08),DKW Bildchen,,,,,,,4.58,,,,,http://www.zeno.org/nid/20004469143,,
Anon - Auf einem Dienstag es geschah,Anon,Auf einem Dienstag es geschah,,LI 76,,,15. Jh.,,-1600,,5.6,,,,,,,
Anon - Auf einem schönen grünen Rasen,Anon,Auf einem schönen grünen Rasen,,EB 341,,,Freiheitskriege,,1770-1830,,"6.30,6.40",,,,,http://www.zeno.org/nid/20004466365,,
Anon - Auf meinen lieben Gott,Anon,Auf meinen lieben Gott,,,,,um 1700,,,,6.5,,,,,,,
"Anon - Auf, Brüder, laßt uns lustig sein",Anon,"Auf, Brüder, laßt uns lustig sein",,HA 201,,,,,1770-1830,,8.14,,,,,,,
Anon - Aus hartem Weh klagt sich ein Held,Anon,Aus hartem Weh klagt sich ein Held,,FTL III 13,,,16. Jh.,,-1600,,8.15,,,,,,,
"Anon - Ave Maria klare, / du lichter Morgenstern",Anon,"Ave Maria klare, / du lichter Morgenstern",,WA V 1352,,,vorreformatorisch,,-1600,,7.1,,,,,,,
"Anon - Ave meres sterne, / mueter gotes wortte",Anon,"Ave meres sterne, / mueter gotes wortte",,WA II 594,,,14. Jh.,,-1600,,4.15,,,,,,,
"Anon - Bald gras ich am Neckar, / Bald gras ich am Rhein",Anon,"Bald gras ich am Neckar, / Bald gras ich am Rhein",,EB 1048,,,,,,,4.5,,,,,,,
Anon - Barmherziger Herr Jesu Christ,Anon,Barmherziger Herr Jesu Christ,,WA V 1243,,,15./16. Jh.,,-1600,,"3.4,3.4aaa",,,,,,,
"Anon - Bis gegrüßt, du Meerstern",Anon,"Bis gegrüßt, du Meerstern",,WA V 1351,,,,,,,4.15,,,,,,,
Anon - Buhler muß sich leiden viel,Anon,Buhler muß sich leiden viel,Lb. der Amalia von Cleve (1555),EB 471,,,16. Jh.,,-1600,,8.15,,,,,,,
Anon - Christus der ist mein Leben,Anon,Christus der ist mein Leben,,WA V 665,,,,,,,4.20,,,,,,,
Anon - Da drunten auf der Wiesen / Da ist ein kleiner Platz,Anon,Da drunten auf der Wiesen / Da ist ein kleiner Platz,Wunderhorn (1805/08),DKW Des Pfarrers Tochter von Taubenheim,,,,,,,4.20,,,,,http://www.zeno.org/nid/20004467310,,
Anon - Da Jesus in den Garten ging,Anon,Da Jesus in den Garten ging,,WA II 1191,,,,,,,4.58,,,,,,,
Anon - Das buckliche Männlein,Anon,Das buckliche Männlein,Wunderhorn (1805/08),Wunderhorn (1805/08),,,,,,,4.31,,,,,http://www.zeno.org/nid/20004470567,,
"Anon - Das clagede ein reyne, zelich wijf",Anon,"Das clagede ein reyne, zelich wijf",Haager Liederhandschrift,,,,um 1400,,-1600,,8.31,,,,,,,
Anon - Das Lagerfeuer hellt die Nacht,Anon,Das Lagerfeuer hellt die Nacht,,,,,,,,,4.58,,,,,,,
"Anon - Das Lied von der Verurteilung und Begnadigung des württembergischen Leutnants Koseritz (Hört Leute, ihr vom Schwabenland)",Anon,"Das Lied von der Verurteilung und Begnadigung des württembergischen Leutnants Koseritz (Hört Leute, ihr vom Schwabenland)",,,,,1833,,1830-1900,,6.15,,,,,,,
Anon - Das walte Gott in seinem Thron,Anon,Das walte Gott in seinem Thron,,WA V 1479,,,,,-1600,,2.5,,,,,,,
Anon - De Kukuk up den Tune satt,Anon,De Kukuk up den Tune satt,,EB 880c,,,,,-1600,,2.5,,,,,,,
Anon - Den lieben langen Tag / Führ ich ein stete Klag,Anon,Den lieben langen Tag / Führ ich ein stete Klag,,EB 494,,,Beginn 17. Jh.,,1600-1700,,6.5,,,,,,,
"Anon - Der bestrafte Frevler (Munter, lustig und verwegen)",Anon,"Der bestrafte Frevler (Munter, lustig und verwegen)",,,,,19. Jh.,,1830-1900,,6.27,,,,,,,
Anon - Der Kinderraub oder Bruderrache und Mutterschmerz (Durch eines Bruders wilde Rache),Anon,Der Kinderraub oder Bruderrache und Mutterschmerz (Durch eines Bruders wilde Rache),,,,,,,1770-1830,,6.38,,,,,,,
Anon - Der Mond der steht am höchsten,Anon,Der Mond der steht am höchsten,Wunderhorn (1805/08),"EB 748,DKW Ade zur guten Nacht",,,16. Jh.,,-1600,,7.1,,,,,http://www.zeno.org/nid/20004468635,,
Anon - Der Pfalzgraf hieß da ziehen baß,Anon,Der Pfalzgraf hieß da ziehen baß,,LI 115,,,15. Jh.,,-1600,,8.15,,,,,,,
Anon - Der Sommer und der Sonnenschein,Anon,Der Sommer und der Sonnenschein,,"EB 458,EB 498",,,,,-1600,,5.6,,,,,,,
"Anon - Der süße Schlaf, der sonst",Anon,"Der süße Schlaf, der sonst",,,,,,,,,3.6,,,,,,,
Anon - Der Tag der ist so freudenreich,Anon,Der Tag der ist so freudenreich,,"WA II 689,WA II 690,WA II 691,WA II 692,WA II 693,WA II 694,WA II 695,WA III 574",,,16. Jh.,,-1600,,10.3,,,,,,,
"Anon - Der Tod der drei ungarischen Drahtbinder [...] 1862 im Krug zu Rixdorf (Nun hört, was Schreckliches sich hat begeben)",Anon,"Der Tod der drei ungarischen Drahtbinder [...] 1862 im Krug zu Rixdorf (Nun hört, was Schreckliches sich hat begeben)",,,,,ab Mitte 19. Jh.,,1830-1900,,4.106,,,,,,,
Anon - Der Unfall reit mich,Anon,Der Unfall reit mich,,,,,16. Jh.,,-1600,,10.2,,,,,,,
Anon - Der Wald hat sich belaubet,Anon,Der Wald hat sich belaubet,,EB 236,,,vor 1450,,-1600,,7.3,,,,,,,
"Anon - Derjenig Tag, des Zorns ein Tag",Anon,"Derjenig Tag, des Zorns ein Tag",,WA V 1558,,,15./16. Jh.,,-1600,,"3.4,3.4aaa",,,,,,,
Anon - Des Bergmanns Leiche zu Falun (Wißt ihr von des Bergmanns Leiche),Anon,Des Bergmanns Leiche zu Falun (Wißt ihr von des Bergmanns Leiche),,,,,18. Jh.,,1770-1830,,8.26,,,,,,,
Anon - Di ediln von dem Rine,Anon,Di ediln von dem Rine,,LI 3,,,1294,,-1600,,6.11,,,,,,,
"Anon - Die Biene kam geflogen, macht in der Lind ihr Nest",Anon,"Die Biene kam geflogen, macht in der Lind ihr Nest",Wunderhorn (1805/08),DKW Die Schlacht bei Sempach,,,,,,,2.14,,,,,http://www.zeno.org/nid/20004465806,,
"Anon - Die höchste Freud, die ich gewann",Anon,"Die höchste Freud, die ich gewann",,EB 465,,,,,-1600,,7.7,,,,,,,
"Anon - Die höchste Freud, die ich gewann",Anon,"Die höchste Freud, die ich gewann",,WA II 1285,,,,,-1600,,7.7,,,,,,,
Anon - Die muoter stund vol leid und,Anon,Die muoter stund vol leid und schmertzen,,WA II 604,,,14. Jh.,,-1600,,6.30,,,,,,,
Anon - Die niderlenschen herren / die zugent ins oberland,Anon,Die niderlenschen herren / die zugent ins oberland,,LI 33,,,14. Jh.,,-1600,,7.1,,,,,,,
Anon - Die Röslein sind zu brechen Zeit,Anon,Die Röslein sind zu brechen Zeit,,EB 439,,,,,,,4.34,,,,,,,
Anon - Die Schwizer sind uszogen,Anon,Die Schwizer sind uszogen,,LI 82,,,,,,,4.34,,,,,,,
Anon - Die so wellen minne,Anon,Die so wellen minne,,WA II 472,,,,,,,4.20,,,,,,,
Anon - Die Sonn mit klarem Scheine,Anon,Die Sonn mit klarem Scheine,Wunderhorn (1805/08),DKW ?,,,1552,,-1600,,9.1,,,,,,,
"Anon - Die Sonn, die ist verblichen",Anon,"Die Sonn, die ist verblichen",Wunderhorn (1805/08),EB 806,,,,,-1600,,9.1,,,,,,,
Anon - Die ungleichen Brüder (Es wollt ein Mann in seine Heimat reisen),Anon,Die ungleichen Brüder (Es wollt ein Mann in seine Heimat reisen),,,,,ab Mitte 19. Jh.,,1830-1900,,4.106,,,,,,,
Anon - Die Wasserrüben und der Kohl,Anon,Die Wasserrüben und der Kohl,Wunderhorn (1805/08),DKW Misheirat,,,,,,,4.58,,,,,http://www.zeno.org/nid/20004464397,,
Anon - Die Zeit ist nu gar freudenreich,Anon,Die Zeit ist nu gar freudenreich,,WA III 575,,,16. Jh.,,-1600,,10.3,,,,,,,
Anon - Dort unten an dem Rheine,Anon,Dort unten an dem Rheine,Wunderhorn (1805/08),DKW Trinklied,,,1. Hälfte 16. Jh.,,-1600,,6.10,,,,,http://www.zeno.org/nid/20004468252,,
Anon - Du guter Fürst und des schimmernden Lichts B'schaffer,Anon,Du guter Fürst und des schimmernden Lichts B'schaffer,,WA II 1365,,,,,,,4.113,,,,,,,
"Anon - Du hast uns, lieber Herr, all heißen beten (Vaterunser)",Anon,"Du hast uns, lieber Herr, all heißen beten (Vaterunser)",,FT III 194,,,1639,,1600-1700,,3.8,,,,,,,
"Anon - Dunkel wars, der Mond schien",Anon,"Dunkel wars, der Mond schien",,,,,,,,,4.49,,,,,,,
Anon - Dunkle Nacht im finstern Schleier,Anon,Dunkle Nacht im finstern Schleier,,EB 1342,,,,,,,4.49,,,,,,,
"Anon - Eia, popeia, was raschelt im",Anon,"Eia, popeia, was raschelt im",,,,,,,,,4.44,,,,,,,
"Anon - Ein Blumen [Blümlein] auf der Heide(n), / Es mag wohl Jesus sein",Anon,"Ein Blumen [Blümlein] auf der Heide(n), / Es mag wohl Jesus sein",,"WA II 1145,EB 2011",,,vorreformatorisch,,-1600,,9.1,,,,,,,
Anon - Ein Kind geboren ze Bethlehem,Anon,Ein Kind geboren ze Bethlehem,,"WA II 904,WA II 907",,,15./16. Jh.,,-1600,,2.5,,,,,,,
Anon - Ein Kindelein so löbelich,Anon,Ein Kindelein so löbelich / Ist uns geboren heute,,WA III 573,,,16. Jh.,,-1600,,10.3,,,,,,,
Anon - Ein kindlein ist geboren / Von einer reinen mait,Anon,Ein kindlein ist geboren / Von einer reinen mait,,WA II 900,,,15. Jh.,,-1600,,8.7,,,,,,,
Anon - Ein Knab auf schnellem Roß,Anon,Ein Knab auf schnellem Roß,Wunderhorn (1805/08),DKW Das Wunderhorn,,,,,,,4.16,,,,,http://www.zeno.org/nid/20004463978,,
Anon - Ein Liebesdrama aus Eifersucht (Der Schneider Holzmann lebt zufrieden),Anon,Ein Liebesdrama aus Eifersucht (Der Schneider Holzmann lebt zufrieden),,,,,,,1770-1830,,6.38,,,,,,,
Anon - Ein Liedlein will ich singen,Anon,Ein Liedlein will ich singen,,WA V 1111,,,,,-1600,,9.1,,,,,,,
Anon - Ein Magd ist weiß und schone ('Hallorenlied'),Anon,Ein Magd ist weiß und schone ('Hallorenlied'),Wunderhorn (1805/08),DKW Die hohe Magd,,,"Verstümmelung von ""Ich weiß ein Maget schone""",,-1600,,7.2,,,,,http://www.zeno.org/nid/20004464133,,
Anon - Ein nüwes liedlein heb ich an,Anon,Ein nüwes liedlein heb ich an,,LI 122,,,1468,,-1600,,6.19,,,,,,,
Anon - Ein Schäfersmädchen saß im Grünen,Anon,Ein Schäfersmädchen saß im Grünen,,,,,um 1800,,1770-1830,,4.69,,,,,,,
Anon - Ein Sträußlein wollt ich,Anon,Ein Sträußlein wollt ich,,,,,,,,,4.20,,,,,,,
Anon - Ein warnend Beispiel will ich singen,Anon,Ein warnend Beispiel will ich singen,,,,,1827,,1770-1830,,8.37,,,,,,,
Anon - Ein Ziegler zu Bar ein burger was,Anon,Ein Ziegler zu Bar ein burger was,,LI 388,,,16. Jh.,,-1600,,7.7,,,,,,,
