Nr,Name,Versform,Verstyp,Hebungsschema,Kadenzen,Versschema,Versschema_HTML,Reimschema,Herkunft,Rang,Strophentyp,VT00001600,VT16001700,VT17001770,VT17701830,VT18301900,VT19001980,R00001600,R16001700,R17001770,R17701830,R18301900,R19001980
8.29,,,trochäisch,[4 4 4 4 4 4 4 4],w w w w w w w w,+ - + - + - + - || + - + - + - + - || + - + - + - + - || + - + - + - + - || + - + - + - + - || + - + - + - + - || + - + - + - + - || + - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - + -<br>+ - + - + - + -<br>+ - + - + - + -<br>+ - + - + - + -<br>+ - + - + - + -<br>+ - + - + - + -<br>+ - + - + - + -<br>+ - + - + - + -</p>",a b a b c d c d / x a x a x b x b,jüngere Prägung (keine spezifische Herkunft),97,08 Achtzeiler,,,,,,,,,,,,
8.30,,,jambisch,[4 4 4 4 4 4 4 4],m m m m m m m m,- + - + - + - + || - + - + - + - + || - + - + - + - + || - + - + - + - + || - + - + - + - + || - + - + - + - + || - + - + - + - + || - + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - +<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + - +</p>",a a b b c c d d,(altdeutsches) Kirchen-/Volkslied,94,08 Achtzeiler,4,1,1,1,1,0,,,,,,
8.31,,,jambisch,[4 4 4 4 4 4 4 4],m m m m m m m m,- + - + - + - + || - + - + - + - + || - + - + - + - + || - + - + - + - + || - + - + - + - + || - + - + - + - + || - + - + - + - + || - + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - +<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + - +</p>",a b a b c d c d / x a x a x b x b,(altdeutsches) Kirchen-/Volkslied,88,08 Achtzeiler,,,,,,,,,,,,
8.32,,,jambisch,[4 4 4 4 4 4 4 4],m m m m m w m w,- + - + - + - + || - + - + - + - + || - + - + - + - + || - + - + - + - + || - + - + - + - + || - + - + - + - + - || - + - + - + - + || - + - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - +<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + - + -<br>- + - + - + - +<br>- + - + - + - + -</p>",a b a b c d c d,jüngere Prägung (keine spezifische Herkunft),115,08 Achtzeiler,,,,,,,,,,,,
8.33,,,jambisch,[4 4 4 4 4 4 4 4],m w m w m w w m,- + - + - + - + || - + - + - + - + - || - + - + - + - + || - + - + - + - + - || - + - + - + - + || - + - + - + - + - || - + - + - + - + - || - + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - +<br>- + - + - + - + -<br>- + - + - + - +<br>- + - + - + - + -<br>- + - + - + - +<br>- + - + - + - + -<br>- + - + - + - + -<br>- + - + - + - +</p>",a b a b c d d c,jüngere Prägung (keine spezifische Herkunft),116,08 Achtzeiler,0,1,4,0,0,0,,,,,,
8.34,,,jambisch,[4 4 4 4 4 4 4 4],m w m w m w m w,- + - + - + - + || - + - + - + - + - || - + - + - + - + || - + - + - + - + - || - + - + - + - + || - + - + - + - + - || - + - + - + - + || - + - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - +<br>- + - + - + - + -<br>- + - + - + - +<br>- + - + - + - + -<br>- + - + - + - +<br>- + - + - + - + -<br>- + - + - + - +<br>- + - + - + - + -</p>",a b a b c d c d,jüngere Prägung (keine spezifische Herkunft),68,08 Achtzeiler,0,2,6,1,6,1,,,,,,
8.35,,,jambisch,[4 4 4 4 4 4 4 4],w m w m m w w m,- + - + - + - + - || - + - + - + - + || - + - + - + - + - || - + - + - + - + || - + - + - + - + || - + - + - + - + - || - + - + - + - + - || - + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - + -<br>- + - + - + - +<br>- + - + - + - + -<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + - + -<br>- + - + - + - + -<br>- + - + - + - +</p>",a b a b c d d c,jüngere Prägung (keine spezifische Herkunft),114,08 Achtzeiler,,,,,,,,,,,,
8.36,,,jambisch,[4 4 4 4 4 4 4 4],w m w m w m m w,- + - + - + - + - || - + - + - + - + || - + - + - + - + - || - + - + - + - + || - + - + - + - + - || - + - + - + - + || - + - + - + - + || - + - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - + -<br>- + - + - + - +<br>- + - + - + - + -<br>- + - + - + - +<br>- + - + - + - + -<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + - + -</p>",a b a b c d d c,jüngere Prägung (keine spezifische Herkunft),113,08 Achtzeiler,0,1,6,0,0,0,,,,,,
8.37,,,jambisch,[4 4 4 4 4 4 4 4],w m w m w m w m,- + - + - + - + - || - + - + - + - + || - + - + - + - + - || - + - + - + - + || - + - + - + - + - || - + - + - + - + || - + - + - + - + - || - + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - + -<br>- + - + - + - +<br>- + - + - + - + -<br>- + - + - + - +<br>- + - + - + - + -<br>- + - + - + - +<br>- + - + - + - + -<br>- + - + - + - +</p>",a b a b c d c d,jüngere Prägung (keine spezifische Herkunft),16,08 Achtzeiler,0,4,56,17,23,4,,,1,13,9,
8.38,,,jambisch,[4 4 4 4 4 4 4 4],w m w m w w m m,- + - + - + - + - || - + - + - + - + || - + - + - + - + - || - + - + - + - + || - + - + - + - + - || - + - + - + - + - || - + - + - + - + || - + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - + -<br>- + - + - + - +<br>- + - + - + - + -<br>- + - + - + - +<br>- + - + - + - + -<br>- + - + - + - + -<br>- + - + - + - +<br>- + - + - + - +</p>",a b a b c c d d,jüngere Prägung (keine spezifische Herkunft),105,08 Achtzeiler,0,2,6,1,0,0,,,,,,
8.39,,,jambisch,[4 4 4 4 4 4 4 4],w w m m w w m m,- + - + - + - + - || - + - + - + - + - || - + - + - + - + || - + - + - + - + || - + - + - + - + - || - + - + - + - + - || - + - + - + - + || - + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - + -<br>- + - + - + - + -<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + - + -<br>- + - + - + - + -<br>- + - + - + - +<br>- + - + - + - +</p>",a a b b c c d d,jüngere Prägung (keine spezifische Herkunft),115,08 Achtzeiler,,,,,,,,,,,,
8.40,,,trochäisch,[5 5 5 5 5 5 5 4],w m w m w m w m,+ - + - + - + - + - || + - + - + - + - + || + - + - + - + - + - || + - + - + - + - + || + - + - + - + - + - || + - + - + - + - + || + - + - + - + - + - || + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - + - + -<br>+ - + - + - + - +<br>+ - + - + - + - + -<br>+ - + - + - + - +<br>+ - + - + - + - + -<br>+ - + - + - + - +<br>+ - + - + - + - + -<br>+ - + - + - +</p>",a b a b c d c d,jüngere Prägung (keine spezifische Herkunft),115,08 Achtzeiler,,,,,,,,,,,,
8.41,,,trochäisch,[5 5 5 5 5 5 5 5],w m w m w m w m,+ - + - + - + - + - || + - + - + - + - + || + - + - + - + - + - || + - + - + - + - + || + - + - + - + - + - || + - + - + - + - + || + - + - + - + - + - || + - + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - + - + -<br>+ - + - + - + - +<br>+ - + - + - + - + -<br>+ - + - + - + - +<br>+ - + - + - + - + -<br>+ - + - + - + - +<br>+ - + - + - + - + -<br>+ - + - + - + - +</p>",a b a b c d c d,jüngere Prägung (keine spezifische Herkunft),88,08 Achtzeiler,0,0,0,5,1,1,,,,,,
8.42,"(Stanze, mmm)",,jambisch,[5 5 5 5 5 5 5 5],m m m m m m m m,- + - + - + - + - + || - + - + - + - + - + || - + - + - + - + - + || - + - + - + - + - + || - + - + - + - + - + || - + - + - + - + - + || - + - + - + - + - + || - + - + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - + - +<br>- + - + - + - + - +<br>- + - + - + - + - +<br>- + - + - + - + - +<br>- + - + - + - + - +<br>- + - + - + - + - +<br>- + - + - + - + - +<br>- + - + - + - + - +</p>",a b a b a b c c,jüngere Prägung (keine spezifische Herkunft),119,08 Achtzeiler,,,,,,,,,,,,
8.43,"(Stanze, mwm)",,jambisch,[5 5 5 5 5 5 5 5],m w m w m w m m,- + - + - + - + - + || - + - + - + - + - + - || - + - + - + - + - + || - + - + - + - + - + - || - + - + - + - + - + || - + - + - + - + - + - || - + - + - + - + - + || - + - + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - + - +<br>- + - + - + - + - + -<br>- + - + - + - + - +<br>- + - + - + - + - + -<br>- + - + - + - + - +<br>- + - + - + - + - + -<br>- + - + - + - + - +<br>- + - + - + - + - +</p>",a b a b a b c c,jüngere Prägung (keine spezifische Herkunft),114,08 Achtzeiler,,,,,,,,,,,,
8.44,,,jambisch,[5 5 5 5 5 5 5 5],m w m w m w m w,- + - + - + - + - + || - + - + - + - + - + - || - + - + - + - + - + || - + - + - + - + - + - || - + - + - + - + - + || - + - + - + - + - + - || - + - + - + - + - + || - + - + - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - + - +<br>- + - + - + - + - + -<br>- + - + - + - + - +<br>- + - + - + - + - + -<br>- + - + - + - + - +<br>- + - + - + - + - + -<br>- + - + - + - + - +<br>- + - + - + - + - + -</p>",a b a b c d c d,jüngere Prägung (keine spezifische Herkunft),100,08 Achtzeiler,,,,,,,,,,,,
8.45,"(Stanze, mww)",,jambisch,[5 5 5 5 5 5 5 5],m w m w m w w w,- + - + - + - + - + || - + - + - + - + - + - || - + - + - + - + - + || - + - + - + - + - + - || - + - + - + - + - + || - + - + - + - + - + - || - + - + - + - + - + - || - + - + - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - + - +<br>- + - + - + - + - + -<br>- + - + - + - + - +<br>- + - + - + - + - + -<br>- + - + - + - + - +<br>- + - + - + - + - + -<br>- + - + - + - + - + -<br>- + - + - + - + - + -</p>",a b a b a b c c,jüngere Prägung (keine spezifische Herkunft),103,08 Achtzeiler,,,,,,,,,,,,
8.46,,,jambisch,[5 5 5 5 5 5 5 5],w m w m w m w m,- + - + - + - + - + - || - + - + - + - + - + || - + - + - + - + - + - || - + - + - + - + - + || - + - + - + - + - + - || - + - + - + - + - + || - + - + - + - + - + - || - + - + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - + - + -<br>- + - + - + - + - +<br>- + - + - + - + - + -<br>- + - + - + - + - +<br>- + - + - + - + - + -<br>- + - + - + - + - +<br>- + - + - + - + - + -<br>- + - + - + - + - +</p>",a b a b c d c d,jüngere Prägung (keine spezifische Herkunft),61,08 Achtzeiler,0,1,6,2,6,3,,,,,,
8.47,deutsche Stanze (wmw),,jambisch,[5 5 5 5 5 5 5 5],w m w m w m w w,- + - + - + - + - + - || - + - + - + - + - + || - + - + - + - + - + - || - + - + - + - + - + || - + - + - + - + - + - || - + - + - + - + - + || - + - + - + - + - + - || - + - + - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - + - + -<br>- + - + - + - + - +<br>- + - + - + - + - + -<br>- + - + - + - + - +<br>- + - + - + - + - + -<br>- + - + - + - + - +<br>- + - + - + - + - + -<br>- + - + - + - + - + -</p>",a b a b a b c c,italienisch,31,08 Achtzeiler,0,0,0,18,6,3,,,,12,,
8.48,Stanze/Ottaverime (www),Endecasillabo,jambisch,[5 5 5 5 5 5 5 5],w w w w w w w w,- + - + - + - + - + - || - + - + - + - + - + - || - + - + - + - + - + - || - + - + - + - + - + - || - + - + - + - + - + - || - + - + - + - + - + - || - + - + - + - + - + - || - + - + - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - + - + -<br>- + - + - + - + - + -<br>- + - + - + - + - + -<br>- + - + - + - + - + -<br>- + - + - + - + - + -<br>- + - + - + - + - + -<br>- + - + - + - + - + -<br>- + - + - + - + - + -</p>",a b a b a b c c,italienisch,65,08 Achtzeiler,0,0,0,10,2,1,,,,22,,
9.1,"'Doller/Toller Weise', 'Narrenkappen-Weise'",,jambisch,[3 3 3 3 3 3 3 3 3],w m w m w m w w m,- + - + - + - || - + - + - + || - + - + - + - || - + - + - + || - + - + - + - || - + - + - + || - + - + - + - || - + - + - + - || - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + -<br>- + - + - +<br>- + - + - + -<br>- + - + - +<br>- + - + - + -<br>- + - + - +<br>- + - + - + -<br>- + - + - + -<br>- + - + - +</p>",a b a b c d c c d,(altdeutsches) Kirchen-/Volkslied,59,09 Neunzeiler,24,1,0,0,0,0,11,,,,,
9.2,,,jambisch,[4 3 4 3 4 3 4 3 3],m w m w m w m w w,- + - + - + - + || - + - + - + - || - + - + - + - + || - + - + - + - || - + - + - + - + || - + - + - + - || - + - + - + - + || - + - + - + - || - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - +<br>- + - + - + -<br>- + - + - + - +<br>- + - + - + -<br>- + - + - + - +<br>- + - + - + -<br>- + - + - + - +<br>- + - + - + -<br>- + - + - + -</p>",a b a b c d c d d,(altdeutsches) Kirchen-/Volkslied,77,09 Neunzeiler,10,6,1,0,0,0,18,,,,,
9.3,,,jambisch,[4 3 4 3 4 4 4 2 4],m w m w m m m m m,- + - + - + - + || - + - + - + - || - + - + - + - + || - + - + - + - || - + - + - + - + || - + - + - + - + || - + - + - + - + || - + - + || - + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - +<br>- + - + - + -<br>- + - + - + - +<br>- + - + - + -<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + - +<br>- + - +<br>- + - + - + - +</p>",a b a b c c d d d,jüngere Prägung (keine spezifische Herkunft),113,09 Neunzeiler,,,,,,,,,,,,
10.1,,,heterometrisch,[3 3 3 3 3 3 2 2 4 3],w w m w w m m m w w,+ - + - + - || + - + - + - || + - + - + || + - + - + - || + - + - + - || + - + - + || + - + || - + - + || + - + - +- + - || + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">&nbsp;&nbsp;+ - + - + -<br>&nbsp;&nbsp;+ - + - + -<br>&nbsp;&nbsp;+ - + - +<br>&nbsp;&nbsp;+ - + - + -<br>&nbsp;&nbsp;+ - + - + -<br>&nbsp;&nbsp;+ - + - +<br>&nbsp;&nbsp;+ - +<br>- + - +<br>&nbsp;&nbsp;+ - + - +- + -<br>&nbsp;&nbsp;+ - + - + -</p>",a a b c c b d d e e,jüngere Prägung (keine spezifische Herkunft),91,10 Zehnzeiler,0,7,8,0,0,0,,,,,,
10.2,,,jambisch,[4 3 4 3 2 2 3 2 2 3],m w m w m m w m m w,- + - + - + - + || - + - + - + - || - + - + - + - + || - + - + - + - || - + - + || - + - + || - + - + - + - || - + - + || - + - + || - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - +<br>- + - + - + -<br>- + - + - + - +<br>- + - + - + -<br>- + - +<br>- + - +<br>- + - + - + -<br>- + - +<br>- + - +<br>- + - + - + -</p>",a b a b c c d e e d,(altdeutsches) Kirchen-/Volkslied,35,10 Zehnzeiler,28,13,0,0,0,0,9,19,,,,
10.3,,,jambisch,[4 3 4 3 4 4 3 4 4 3],m w m w m m w m m w,- + - + - + - + || - + - + - + - || - + - + - + - + || - + - + - + - || - + - + - + - + || - + - + - + - + || - + - + - + - || - + - + - + - + || - + - + - + - + || - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - +<br>- + - + - + -<br>- + - + - + - +<br>- + - + - + -<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + -<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + -</p>",a b a b c c d e e d,"lateinische Hymnendichtung,(altdeutsches) Kirchen-/Volkslied",57,10 Zehnzeiler,10,12,6,0,0,0,17,21,,,,
10.4,,,heterometrisch,[4 4 3 4 4 3 2 4 2 4],m m w m m w w w w w,- + - + - + - + || - + - + - + - + || - + - + - + - || - + - + - + - + || - + - + - + - + || - + - + - + - || + - + - || + - + - + - + - || + - + - || + - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - +<br>- + - + - + - +<br>- + - + - + -<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + -<br>&nbsp;&nbsp;+ - + -<br>&nbsp;&nbsp;+ - + - + - + -<br>&nbsp;&nbsp;+ - + -<br>&nbsp;&nbsp;+ - + - + - + -</p>",a a b c c b x x d d,jüngere Prägung (keine spezifische Herkunft),112,10 Zehnzeiler,,,,,,,,,,,,
10.5,,,trochäisch,[4 4 4 4 4 4 4 4 4 4],w m w m w m m w m m,+ - + - + - + - || + - + - + - + || + - + - + - + - || + - + - + - + || + - + - + - + - || + - + - + - + || + - + - + - + || + - + - + - + - || + - + - + - + || + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - + -<br>+ - + - + - +<br>+ - + - + - + -<br>+ - + - + - +<br>+ - + - + - + -<br>+ - + - + - +<br>+ - + - + - +<br>+ - + - + - + -<br>+ - + - + - +<br>+ - + - + - +</p>",a b a b c d d c e e,jüngere Prägung (keine spezifische Herkunft),104,10 Zehnzeiler,0,6,0,0,0,0,,,,,,
10.6,Dezime (Espinela),,trochäisch,[4 4 4 4 4 4 4 4 4 4],w w w w w w w w w w,+ - + - + - + - || + - + - + - + - || + - + - + - + - || + - + - + - + - || + - + - + - + - || + - + - + - + - || + - + - + - + - || + - + - + - + - || + - + - + - + - || + - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - + -<br>+ - + - + - + -<br>+ - + - + - + -<br>+ - + - + - + -<br>+ - + - + - + -<br>+ - + - + - + -<br>+ - + - + - + -<br>+ - + - + - + -<br>+ - + - + - + -<br>+ - + - + - + -</p>",a b b a a c c d d c,spanisch,100,10 Zehnzeiler,0,0,0,5,0,0,,,,,,
10.7,,,jambisch,[4 4 4 4 4 4 4 4 4 4],m m m m m m m m m m,- + - + - + - + || - + - + - + - + || - + - + - + - + || - + - + - + - + || - + - + - + - + || - + - + - + - + || - + - + - + - + || - + - + - + - + || - + - + - + - + || - + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - +<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + - +</p>",a a b b c c d d e e,(altdeutsches) Kirchen-/Volkslied,104,10 Zehnzeiler,,,,,,,,,,,,
10.8,,,jambisch,[4 4 4 4 4 4 4 4 4 4],m w m w m m w m m w,- + - + - + - + || - + - + - + - + - || - + - + - + - + || - + - + - + - + - || - + - + - + - + || - + - + - + - + || - + - + - + - + - || - + - + - + - + || - + - + - + - + || - + - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - +<br>- + - + - + - + -<br>- + - + - + - +<br>- + - + - + - + -<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + - + -<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + - + -</p>",a b a b c c d e e d,jüngere Prägung (keine spezifische Herkunft),102,10 Zehnzeiler,0,1,19,0,0,0,,,16,,,
10.9,,,jambisch,[4 4 4 4 4 4 4 4 4 4],w m w m w w m w w m,- + - + - + - + - || - + - + - + - + || - + - + - + - + - || - + - + - + - + || - + - + - + - + - || - + - + - + - + - || - + - + - + - + || - + - + - + - + - || - + - + - + - + - || - + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - + -<br>- + - + - + - +<br>- + - + - + - + -<br>- + - + - + - +<br>- + - + - + - + -<br>- + - + - + - + -<br>- + - + - + - +<br>- + - + - + - + -<br>- + - + - + - + -<br>- + - + - + - +</p>",a b a b c c d e e d,jüngere Prägung (keine spezifische Herkunft),97,10 Zehnzeiler,0,0,20,0,1,0,,,14,,,
11.1,,,jambisch,[4 2 3 4 2 3 2 2 2 2 3],m m w m m w m m m m w,- + - + - + - + || - + - + || - + - + - + - || - + - + - + - + || - + - + || - + - + || - + - + || - + - + || - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - +<br>- + - +<br>- + - + - + -<br>- + - + - + - +<br>- + - +<br>- + - +<br>- + - +<br>- + - +<br>- + - + - + -</p>",a a b c c b d d e e b/x,(altdeutsches) Kirchen-/Volkslied,79,11 Elfzeiler,13,3,1,0,0,0,15,,,,,
11.2,(Kanzonenstrophe),,jambisch,[5 3 5 5 3 5 3 5 3 5 5],w w w w w w w w w w w,- + - + - + - + - + - || - + - + - + - || - + - + - + - + - + - || - + - + - + - + - + - || - + - + - + - || - + - + - + - + - + - || - + - + - + - || - + - + - + - + - + - || - + - + - + - || - + - + - + - + - + - || - + - + - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - + - + -<br>- + - + - + -<br>- + - + - + - + - + -<br>- + - + - + - + - + -<br>- + - + - + -<br>- + - + - + - + - + -<br>- + - + - + -<br>- + - + - + - + - + -<br>- + - + - + -<br>- + - + - + - + - + -<br>- + - + - + - + - + -</p>",a b c a b c c d d e e,italienisch,121,11 Elfzeiler,,,,,,,,,,,,
12.1,,,jambisch,[2 2 3 2 2 3 2 2 3 2 2 3],m m w m m w m m w m m w,- + - + || - + - + || - + - + - + - || - + - + || - + - + || - + - + - + - || - + - + || - + - + || - + - + - + - || - + - + || - + - + || - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">- + - +<br>- + - +<br>- + - + - + -<br>- + - +<br>- + - +<br>- + - + - + -<br>- + - +<br>- + - +<br>- + - + - + -<br>- + - +<br>- + - +<br>- + - + - + -</p>",a a b c c b d d e f f e,(altdeutsches) Kirchen-/Volkslied,62,12 Zwölfzeiler,19,3,0,0,0,0,13,,,,,
12.2,,,jambisch,[3 4 3 4 3 3 3 3 3 3 3 3],w m w m w m w m w m w m,- + - + - + - || - + - + - + - + || - + - + - + - || - + - + - + - + || - + - + - + - || - + - + - + || - + - + - + - || - + - + - + || - + - + - + - || - + - + - + || - + - + - + - || - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + -<br>- + - + - + - +<br>- + - + - + -<br>- + - + - + - +<br>- + - + - + -<br>- + - + - +<br>- + - + - + -<br>- + - + - +<br>- + - + - + -<br>- + - + - +<br>- + - + - + -<br>- + - + - +</p>",a b a b c d c d e f e f,jüngere Prägung (keine spezifische Herkunft),94,12 Zwölfzeiler,2,7,0,0,0,0,,,,,,
12.3,,,heterometrisch,[4 4 3 4 4 3 1 1 2 2 2 4],m m w m m w w w w w w w,- + - + - + - + || - + - + - + - + || - + - + - + - || - + - + - + - + || - + - + - + - + || - + - + - + - || + - || + - || + - + - || + - + - || + - + - || + - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - +<br>- + - + - + - +<br>- + - + - + -<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + -<br>&nbsp;&nbsp;+ -<br>&nbsp;&nbsp;+ -<br>&nbsp;&nbsp;+ - + -<br>&nbsp;&nbsp;+ - + -<br>&nbsp;&nbsp;+ - + -<br>&nbsp;&nbsp;+ - + - + - + -</p>",a a b c c b d d e e f f,jüngere Prägung (keine spezifische Herkunft),76,12 Zwölfzeiler,0,14,1,0,0,0,,17,,,,
12.4,,,jambisch,[4 4 3 4 4 3 4 4 3 4 4 3],m m w m m w m m w m m w,- + - + - + - + || - + - + - + - + || - + - + - + - || - + - + - + - + || - + - + - + - + || - + - + - + - || - + - + - + - + || - + - + - + - + || - + - + - + - || - + - + - + - + || - + - + - + - + || - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - +<br>- + - + - + - +<br>- + - + - + -<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + -<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + -<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + -</p>",a a b c c b d d e f f e,(altdeutsches) Kirchen-/Volkslied,82,12 Zwölfzeiler,13,2,0,0,0,0,16,,,,,
12.5,,,trochäisch,[4 4 4 4 4 4 4 4 4 4 4 4],w m w m w m w m w m w m,+ - + - + - + - || + - + - + - + || + - + - + - + - || + - + - + - + || + - + - + - + - || + - + - + - + || + - + - + - + - || + - + - + - + || + - + - + - + - || + - + - + - + || + - + - + - + - || + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - + -<br>+ - + - + - +<br>+ - + - + - + -<br>+ - + - + - +<br>+ - + - + - + -<br>+ - + - + - +<br>+ - + - + - + -<br>+ - + - + - +<br>+ - + - + - + -<br>+ - + - + - +<br>+ - + - + - + -<br>+ - + - + - +</p>",a b a b c d c d e f e f,jüngere Prägung (keine spezifische Herkunft),118,12 Zwölfzeiler,,,,,,,,,,,,
13.1,,,jambisch,[4 4 3 3 4 4 3 3 4 4 4 4 3],m m w w m m w w m m m m w,- + - + - + - + || - + - + - + - + || - + - + - + - || - + - + - + - || - + - + - + - + || - + - + - + - + || - + - + - + - || - + - + - + - || - + - + - + - + || - + - + - + - + || - + - + - + - + || - + - + - + - + || - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - +<br>- + - + - + - +<br>- + - + - + -<br>- + - + - + -<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + -<br>- + - + - + -<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + -</p>",a a b b c c d d e e f f x,(altdeutsches) Kirchen-/Volkslied,106,13 Dreizehnzeiler,4,2,0,0,0,0,,,,,,
13.2,"'Bernerton', 'Eckenstrophe', 'Herzog-Ernst-Ton'",,jambisch,[4 4 3 4 4 3 4 3 4 3 4 3 3],m m w m m w m w m w m w m,- + - + - + - + || - + - + - + - + || - + - + - + - || - + - + - + - + || - + - + - + - + || - + - + - + - || - + - + - + - + || - + - + - + - || - + - + - + - + || - + - + - + - || - + - + - + - + || - + - + - + - || - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - +<br>- + - + - + - +<br>- + - + - + -<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + -<br>- + - + - + - +<br>- + - + - + -<br>- + - + - + - +<br>- + - + - + -<br>- + - + - + - +<br>- + - + - + -<br>- + - + - +</p>",a a b c c b d e d e f x f,(altdeutsches) Kirchen-/Volkslied,108,13 Dreizehnzeiler,6,0,0,0,0,0,23,,,,,
14.1,Schillerton,,jambisch,[4 4 3 4 4 3 4 3 4 3 5 3 3 3],m m w m m w m w m w w w m m,- + - + - + - + || - + - + - + - + || - + - + - + - || - + - + - + - + || - + - + - + - + || - + - + - + - || - + - + - + - + || - + - + - + - || - + - + - + - + || - + - + - + - || - + - + - + - + - + - || - + - + - + - || - + - + - + || - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - +<br>- + - + - + - +<br>- + - + - + -<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + -<br>- + - + - + - +<br>- + - + - + -<br>- + - + - + - +<br>- + - + - + -<br>- + - + - + - + - + -<br>- + - + - + -<br>- + - + - +<br>- + - + - +</p>",a a b c c b d e d e f f g g,(altdeutsches) Kirchen-/Volkslied,112,14 Vierzehnzeiler,4,0,0,0,0,0,,,,,,
