Nr,Name,Versform,Verstyp,Hebungsschema,Kadenzen,Versschema,Versschema_HTML,Reimschema,Herkunft,Rang,Strophentyp,VT00001600,VT16001700,VT17001770,VT17701830,VT18301900,VT19001980,R00001600,R16001700,R17001770,R17701830,R18301900,R19001980
7.10,'Daphnisstrophe',,trochäisch,[4 4 4 4 4 4 4],w m w m w w m,+ - + - + - + - || + - + - + - + || + - + - + - + - || + - + - + - + || + - + - + - + - || + - + - + - + - || + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - + -<br>+ - + - + - +<br>+ - + - + - + -<br>+ - + - + - +<br>+ - + - + - + -<br>+ - + - + - + -<br>+ - + - + - +</p>",a b a b c c b,lateinische Hymnendichtung,102,07 Siebenzeiler,,,,,,,,,,,,
7.11,,,jambisch,[4 4 4 4 4 4 4],w m w m w w m,- + - + - + - + - || - + - + - + - + || - + - + - + - + - || - + - + - + - + || - + - + - + - + - || - + - + - + - + - || - + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - + -<br>- + - + - + - +<br>- + - + - + - + -<br>- + - + - + - +<br>- + - + - + - + -<br>- + - + - + - + -<br>- + - + - + - +</p>",a b a b c c b,jüngere Prägung (keine spezifische Herkunft),112,07 Siebenzeiler,,,,,,,,,,,,
8.1,,,daktylisch mit Auftakt,[2 2 2 2 2 2 2 2],w m w m w m w m,- + - - + - || - + - - + || - + - - + - || - + - - + || - + - - + - || - + - - + || - + - - + - || - + - - +,"<p style=""font-family:'Lucida Console', monospace"">- + - - + -<br>- + - - +<br>- + - - + -<br>- + - - +<br>- + - - + -<br>- + - - +<br>- + - - + -<br>- + - - +</p>",a b a b c d c d,jüngere Prägung (keine spezifische Herkunft),97,08 Achtzeiler,0,0,1,4,0,1,,,,,,
8.2,,,trochäisch,[3 3 3 3 3 3 3 3],w m w m w m w m,+ - + - + - || + - + - + || + - + - + - || + - + - + || + - + - + - || + - + - + || + - + - + - || + - + - +,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + -<br>+ - + - +<br>+ - + - + -<br>+ - + - +<br>+ - + - + -<br>+ - + - +<br>+ - + - + -<br>+ - + - +</p>",a b a b c d c d,jüngere Prägung (keine spezifische Herkunft),87,08 Achtzeiler,0,1,6,1,1,3,,,,,,
8.3,,,daktylisch,[3 3 3 3 3 3 3 3],w m w m w m w m,+ - - + - - + - || + - - + - - + || + - - + - - + - || + - - + - - + || + - - + - - + - || + - - + - - + || + - - + - - + - || + - - + - - +,"<p style=""font-family:'Lucida Console', monospace"">+ - - + - - + -<br>+ - - + - - +<br>+ - - + - - + -<br>+ - - + - - +<br>+ - - + - - + -<br>+ - - + - - +<br>+ - - + - - + -<br>+ - - + - - +</p>",a b a b c d c d,jüngere Prägung (keine spezifische Herkunft),111,08 Achtzeiler,,,,,,,,,,,,
8.4,,,jambisch,[3 3 3 3 3 3 3 3],m w m w m m m m,- + - + - + || - + - + - + - || - + - + - + || - + - + - + - || - + - + - + || - + - + - + || - + - + - + || - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - +<br>- + - + - + -<br>- + - + - +<br>- + - + - + -<br>- + - + - +<br>- + - + - +<br>- + - + - +<br>- + - + - +</p>",x a x a x b x b,jüngere Prägung (keine spezifische Herkunft),83,08 Achtzeiler,0,9,6,1,0,0,,,,,,
8.5,,,jambisch,[3 3 3 3 3 3 3 3],w m w m m m w m,- + - + - + - || - + - + - + || - + - + - + - || - + - + - + || - + - + - + || - + - + - + || - + - + - + - || - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + -<br>- + - + - +<br>- + - + - + -<br>- + - + - +<br>- + - + - +<br>- + - + - +<br>- + - + - + -<br>- + - + - +</p>",a b a b c c a/x c,(altdeutsches) Kirchen-/Volkslied,104,08 Achtzeiler,,,,,,,,,,,,
8.6,,,jambisch,[3 3 3 3 3 3 3 3],w m w m m w w m,- + - + - + - || - + - + - + || - + - + - + - || - + - + - + || - + - + - + || - + - + - + - || - + - + - + - || - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + -<br>- + - + - +<br>- + - + - + -<br>- + - + - +<br>- + - + - +<br>- + - + - + -<br>- + - + - + -<br>- + - + - +</p>",a b a b c d d c,(altdeutsches) Kirchen-/Volkslied,38,08 Achtzeiler,8,20,5,1,1,1,19,10,,,,
8.7,"Hildebrandston, 'Bruder-Veits-Ton', 'Benzenauer Ton', 'Hönweis (henne weis)'",,jambisch,[3 3 3 3 3 3 3 3],w m w m w m w m,- + - + - + - || - + - + - + || - + - + - + - || - + - + - + || - + - + - + - || - + - + - + || - + - + - + - || - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + -<br>- + - + - +<br>- + - + - + -<br>- + - + - +<br>- + - + - + -<br>- + - + - +<br>- + - + - + -<br>- + - + - +</p>",a b a b c d c d / x a x a x b x b,mittelalterliche Heldenepik,7,08 Achtzeiler,74,52,15,32,23,8,3,3,18,8,8,25
8.8,,,daktylisch mit Auftakt,[3 3 3 3 3 3 3 3],w m w m w m w m,- + - - + - - + - || - + - - + - - + || - + - - + - - + - || - + - - + - - + || - + - - + - - + - || - + - - + - - + || - + - - + - - + - || - + - - + - - +,"<p style=""font-family:'Lucida Console', monospace"">- + - - + - - + -<br>- + - - + - - +<br>- + - - + - - + -<br>- + - - + - - +<br>- + - - + - - + -<br>- + - - + - - +<br>- + - - + - - + -<br>- + - - + - - +</p>",a b a b c d c d,jüngere Prägung (keine spezifische Herkunft),104,08 Achtzeiler,,,,,,,,,,,,
